,age,gender,apps_used,apps_purposes,apps_conversations,conversations_in_person,app_ease,physical_ease,online_ease,covid_apps_more,covid_physical_more,covid_online_more
112,25-34,Woman,"Tinder,Match,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Occasionally,Rarely,2,5,2,1.0,1.0,4
113,35-44,Man,"Tinder,OKCupid,Grindr",Finding long-term romantic or sexual relationships,Occasionally,Rarely,4,4,3,5.0,1.0,5
114,25-34,Woman,I have never used a dating app,I have never used a dating app,Never,Never,5,7,3,4.0,2.0,7
115,25-34,Man,"Tinder,Match,Plenty of Fish,OKCupid,Coffee & Bagel","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",Occasionally,Occasionally,4,5,2,7.0,6.0,6
116,Over 55,Woman,"Match,Plenty of Fish,OKCupid","Finding long-term romantic or sexual relationships,Making friends,Entertainment",Rarely,Rarely,6,2,6,2.0,2.0,2
117,25-34,Man,"Tinder,OKCupid","Finding short-term romantic or sexual relationships,Entertainment",Often,Occasionally,6,6,6,1.0,1.0,5
118,18-24,Woman,I have never used a dating app,I have never used a dating app,Never,Never,5,3,2,1.0,1.0,7
119,25-34,Woman,"Tinder,Plenty of Fish","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",Occasionally,Rarely,5,2,2,5.0,2.0,6
120,25-34,Man,I have never used a dating app,I have never used a dating app,Never,Never,5,3,1,1.0,1.0,2
121,25-34,Man,"Tinder,Bumble","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",Occasionally,Rarely,2,4,1,1.0,1.0,1
122,18-24,Woman,"Tinder,Bumble","Finding long-term romantic or sexual relationships,Making friends",Occasionally,Occasionally,4,4,4,3.0,3.0,4
123,25-34,Man,Match,Finding long-term romantic or sexual relationships,Often,Occasionally,5,4,2,2.0,2.0,5
124,25-34,Man,"Tinder,Bumble,Match,Plenty of Fish,Hinge","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Occasionally,Occasionally,4,4,2,2.0,2.0,7
125,25-34,Man,"Tinder,Match,OKCupid","Finding short-term romantic or sexual relationships,Entertainment",Rarely,Occasionally,4,4,5,3.0,,6
126,25-34,Man,I have never used a dating app,I have never used a dating app,Never,Never,5,5,5,1.0,4.0,5
127,25-34,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge,Grindr,Coffee & Bagel","Finding long-term romantic or sexual relationships,Making friends,Entertainment",Rarely,Occasionally,4,1,1,7.0,1.0,7
128,35-44,Woman,I have never used a dating app,I have never used a dating app,Never,Never,3,2,2,1.0,1.0,7
