,tweets,Created_at,id,userid,date,source,likes,retweets
48,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 16:37:33+00:00,1631332929765875722,1148684921352982528,2023-03-02 16:37:33+00:00,Twitter for iPhone,0,18
49,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 16:25:24+00:00,1631329871275204615,493584479,2023-03-02 16:25:24+00:00,Twitter for iPhone,0,356
50,#iPhone15Pro zrewolucjonizuje rynek smartfonów? https://t.co/awSxqL048h,2023-03-02 16:19:45+00:00,1631328448944775169,2194869954,2023-03-02 16:19:45+00:00,Twitter for Mac,1,0
51,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 16:19:01+00:00,1631328264714088450,1509166527592992780,2023-03-02 16:19:01+00:00,Twitter Web App,0,356
52,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 16:06:10+00:00,1631325031274893318,1210574988316749825,2023-03-02 16:06:10+00:00,Twitter for iPhone,0,18
53,RT @ekonyan8: 帰宅中やまぴから送られてきた癒し、、♡というかわたしのスマホだとこんなに可愛く撮れないんですけど！ぬいぐるみですやん！！今年は絶対iPhone15Proを買うぞ　#ハムスター https://t.co/TOApqph2C6,2023-03-02 15:56:56+00:00,1631322708247195651,121603032,2023-03-02 15:56:56+00:00,Twitter for Android,0,4
54,帰宅中やまぴから送られてきた癒し、、♡というかわたしのスマホだとこんなに可愛く撮れないんですけど！ぬいぐるみですやん！！今年は絶対iPhone15Proを買うぞ　#ハムスター https://t.co/TOApqph2C6,2023-03-02 15:55:35+00:00,1631322365513842688,1431501301678895107,2023-03-02 15:55:35+00:00,Twitter for iPhone,42,4
55,@Apple Dont have the money but i know all about #iphone15pro,2023-03-02 15:49:17+00:00,1631320779697831937,1511803783109619713,2023-03-02 15:49:17+00:00,Twitter Web App,0,0
56,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 15:37:53+00:00,1631317912844742658,1577745710660960268,2023-03-02 15:37:53+00:00,Twitter for iPhone,0,18
57,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 15:33:55+00:00,1631316916357804034,62014464,2023-03-02 15:33:55+00:00,Twitter Web App,0,356
58,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 15:16:23+00:00,1631312500862885888,1145665379106217984,2023-03-02 15:16:23+00:00,Twitter for iPhone,0,18
59,"Nouvelle vidéo à 18h00 sur ma chaîne ! 
#iphone15 #iphone15pro https://t.co/eqJmeTYrDn",2023-03-02 15:10:25+00:00,1631311000543608832,817694825793331200,2023-03-02 15:10:25+00:00,Twitter for iPhone,11,0
60,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 15:08:48+00:00,1631310593784270851,153024622,2023-03-02 15:08:48+00:00,Twitter Web App,0,356
61,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 15:06:00+00:00,1631309890613395456,1326118644926083073,2023-03-02 15:06:00+00:00,Twitter for iPhone,0,356
62,This years standard iPhone 15 models will be coming with new colour options including pink &amp; light blue. The iPhone… https://t.co/4d03D7Hp9F,2023-03-02 15:00:02+00:00,1631308385814495233,1576688845986402304,2023-03-02 15:00:02+00:00,Twitter Web App,0,0
63,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 14:58:10+00:00,1631307917415657472,1320969090,2023-03-02 14:58:10+00:00,Twitter for iPhone,0,18
64,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 14:56:04+00:00,1631307388899717122,1315400455,2023-03-02 14:56:04+00:00,Twitter for iPhone,0,18
65,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 14:54:11+00:00,1631306913639026693,1084906868747784198,2023-03-02 14:54:11+00:00,Twitter for iPhone,0,18
66,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 14:49:03+00:00,1631305622200418304,897007154728542208,2023-03-02 14:49:03+00:00,Twitter for iPhone,0,18
67,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 14:43:31+00:00,1631304231134310402,1580170720767680514,2023-03-02 14:43:31+00:00,Twitter for Android,0,356
68,"iPhone15Pro買ったら、次の機種変で親へプレゼントは流石に厳しいなぁ
iPhone12 miniでさえ引き取りで数万変わってくるし、12で最後だなぁ",2023-03-02 14:18:53+00:00,1631298032699359233,1150093013516840965,2023-03-02 14:18:53+00:00,Twitter for iPhone,0,0
69,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 14:18:07+00:00,1631297838582726661,1179146961464807424,2023-03-02 14:18:07+00:00,Twitter for iPhone,0,18
70,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 14:17:25+00:00,1631297663701336067,1501888875173720068,2023-03-02 14:17:25+00:00,Twitter for iPhone,0,18
71,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 14:10:06+00:00,1631295819776249856,1589736150037676034,2023-03-02 14:10:06+00:00,Twitter Web App,0,18
72,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 14:01:21+00:00,1631293619423305728,1891766390,2023-03-02 14:01:21+00:00,Twitter for iPhone,0,18
73,RT @Apple_Geek_Actu: 🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puce A…,2023-03-02 13:45:20+00:00,1631289588843937792,1458902561856053255,2023-03-02 13:45:20+00:00,Twitter for Android,0,18
74,🔴Les #iPhone15Pro donneraient envie de changer d'iPhone actuel en raison des améliorations significatives de la puc… https://t.co/hFXJK0Dw4C,2023-03-02 13:44:07+00:00,1631289282634690562,329250613,2023-03-02 13:44:07+00:00,Twitter Web App,100,18
75,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 13:08:48+00:00,1631280393797206016,4190803696,2023-03-02 13:08:48+00:00,Twitter for iPhone,0,356
76,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 13:03:18+00:00,1631279012541505538,2264188101,2023-03-02 13:03:18+00:00,Twitter Web App,0,356
77,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 13:02:12+00:00,1631278735847456770,59945426,2023-03-02 13:02:12+00:00,Twitter for Android,0,356
