,tweets,id,len,date,source,likes,retweets
73,"Thursday’s best deals: M2 Mac mini $50 off, M2 MacBook Air $1,149, iPhone 14 cases, more https://t.co/acjNAEVV3w",1628823273256673280,112,2023-02-23 18:25:05+00:00,dlvr.it,4,2
74,Apple Now Testing iOS 16.5 Internally as One of Final Updates Before iOS 17 https://t.co/OCn1ldoLxJ,1628821123600371712,99,2023-02-23 18:16:32+00:00,dlvr.it,9,4
75,WhatsApp Users to Gain iMessage-Like Ability to Edit Sent Messages https://t.co/bkjQahOVgs,1628812947148636160,90,2023-02-23 17:44:03+00:00,dlvr.it,5,2
76,Leak Suggests iPhone 15 Display Could Be Larger Than iPhone 14 https://t.co/wDwyEzhVQS,1628805145428643845,86,2023-02-23 17:13:03+00:00,dlvr.it,4,2
77,iPhone 14 Pro's Dynamic Island Gets the Android Treatment in Latest Copycat Effort https://t.co/QqH4BCARlU,1628797090569789446,106,2023-02-23 16:41:02+00:00,dlvr.it,7,1
78,Foxconn Reportedly Working on Apple's Cheaper Second-Generation Headset https://t.co/uIdqp3zrNG,1628788666947731458,95,2023-02-23 16:07:34+00:00,dlvr.it,4,0
79,iPhone 15 Lineup Rumored to Feature More Power-Efficient OLED Displays https://t.co/vwYtofDRwi,1628780354382495744,94,2023-02-23 15:34:32+00:00,dlvr.it,8,2
80,Tempo Core review – a great home fitness entry point for iPhone owners https://t.co/K61klPIK0U,1628773683648172032,94,2023-02-23 15:08:01+00:00,dlvr.it,3,1
81,iPhone 15 battery life may be boosted by more-efficient OLED driver https://t.co/mCvwwc4Fnn,1628757600262324224,91,2023-02-23 14:04:07+00:00,dlvr.it,5,2
82,"Exclusive: iPhone 15 CADs reveal larger 6.2-inch display, Dynamic Island, and more https://t.co/4ffCNd6flR",1628573619386458112,106,2023-02-23 01:53:02+00:00,dlvr.it,6,1
83,"Leaked iPhone 15 images claim to show USB-C, Dynamic Island https://t.co/BXTVfDl52S",1628565567048421381,83,2023-02-23 01:21:03+00:00,dlvr.it,4,1
84,"AI-Powered Bing Search Comes to Microsoft Edge, Skype and Bing iOS Apps https://t.co/QoNwwY5Vg4",1628555887634944001,95,2023-02-23 00:42:35+00:00,dlvr.it,1,1
85,MacRumors Exclusive: iPhone 15 Design Shown Off in Leaked Images Shared by Unknownz21 https://t.co/jF61dVwTQ9,1628523673744478209,109,2023-02-22 22:34:34+00:00,dlvr.it,2,0
86,The iPhone Ultra: Everything We Know About Apple's 2024 High-End iPhone 16 https://t.co/82eKsDhphi,1628507437086175233,98,2023-02-22 21:30:03+00:00,dlvr.it,9,1
87,Rovio Renames Angry Birds Classic on iOS Due to 'Impact' on Wider Games Portfolio https://t.co/znaO3QOLWE,1628491326558994433,105,2023-02-22 20:26:02+00:00,dlvr.it,4,1
88,Apple's Noninvasive Blood Glucose Technology for Future Apple Watch Reaches 'Proof-of Concept' Stage https://t.co/GgTMitTjU0,1628458865930166273,124,2023-02-22 18:17:03+00:00,dlvr.it,8,2
89,Apple Files Bluetooth 5.3 Listing Amid Rumors of New MacBook Air and Mac Pro https://t.co/jqCHvtmDL0,1628442256008167424,100,2023-02-22 17:11:03+00:00,dlvr.it,5,1
90,Leaked images show off the first Android clone of the iPhone 14 Pro’s Dynamic Island [Gallery] https://t.co/qfgO91eVrI,1628436215656767489,118,2023-02-22 16:47:03+00:00,dlvr.it,8,4
91,Apple Orders Entire Supply of TSMC's 3nm Chips for iPhone 15 Pro and M3 Macs https://t.co/02yhNbINHB,1628434075450249216,100,2023-02-22 16:38:33+00:00,dlvr.it,4,1
92,Uber Rides Now Easier to Track on iPhone's Lock Screen and Dynamic Island as Live Activities Expands Worldwide https://t.co/XGt4FWB75t,1628425895840186369,134,2023-02-22 16:06:02+00:00,dlvr.it,13,1
93,How to Keep Your Twitter Account Secure Without Having to Pay for the Privilege https://t.co/OcapaFMDoz,1628417589180530689,103,2023-02-22 15:33:02+00:00,dlvr.it,8,1
94,Does wearing an Apple Watch affect iPhone buying habits? Here’s what the data says https://t.co/ouE6ArHrVv,1628411429987713035,106,2023-02-22 15:08:33+00:00,dlvr.it,12,2
95,Uber gets major update with simplified home screen and Live Activities for all iPhone users https://t.co/0bXg3JqOiy,1628394945362153474,115,2023-02-22 14:03:03+00:00,dlvr.it,5,1
96,Security Researchers Delve Into Major Vulnerability Patched in iOS 16.3 and macOS 13.2 https://t.co/dJXeMTf7RZ,1628120385656066048,110,2023-02-21 19:52:03+00:00,dlvr.it,8,2
97,"iPhone 15 Rumored to Feature RAM Improvements, 8GB Likely for Pro Models https://t.co/TZr6znCwN4",1628071311410073600,96,2023-02-21 16:37:03+00:00,dlvr.it,13,0
98,Apple's Popularity With Gen Z Poses Challenges for Android https://t.co/3X7djxkqxF,1628063269465497601,82,2023-02-21 16:05:06+00:00,dlvr.it,7,1
99,Apple Releases 'Car Keys Tests' App for Licensed MFi Developers https://t.co/Cq2Ey8eJyY,1628054950164180992,87,2023-02-21 15:32:02+00:00,dlvr.it,7,1
